Ward,Division,WardDiv,Ward-Division,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh & O'Brien,Oh & Tracy,Oh & Tinney,Oh & Taubenberger,Oh & Wolfe,Oh & Williams,Williams & Tracy,Williams & Tinney,Williams & O'Brien,Williams & Taubenberger,Williams & Wolfe,Tracy & Tinney,Tracy & O'Brien,Tracy & Taubenberger,Tracy & Wolfe,Tinney & O'Brien,Tinney & Taubenberger,Tinney & Wolfe,O'Brien & Taubenberger,O'Brien & Wolfe,Taubenberger & Wolfe,Taubenberger & write-in,Oh & Write & In
2,11,0211,2-11,Tie: Oh/Wolfe,2,Tie: Oh & O'Brien/Taubenberger & Wolfe,1,3,5,2,3,,5,2,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,1,,
2,12,0212,2-12,Tinney,1,Oh & Wolfe,1,,1,1,4,2,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2,13,0213,2-13,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,0214,2-14,Williams,1,Tinney & O'Brien,2,1,1,2,2,2,1,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,
2,15,0215,2-15,Tie: Oh/Tinney/Wolfe,1,Oh & Taubenberger,1,1,3,1,3,3,7,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
2,16,0216,2-16,Oh,3,Tracy & Wolfe,1,1,3,1,1,,6,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2,17,0217,2-17,Oh,1,Tie: Oh & O'Brien/Taubenberger & Wolfe,1,1,1,2,3,1,5,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
2,18,0218,2-18,Oh,4,,0,4,6,,,,1,4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,19,0219,2-19,,0,,0,2,,,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,0220,2-20,,0,,0,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,0221,2-21,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22,0222,2-22,Oh,1,,0,,1,,4,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,0223,2-23,Tinney,1,Tie: Oh & Taubenberger/Taubenberger & Wolfe,1,2,1,2,5,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,
2,24,0224,2-24,Oh,5,Tie: Oh & O'Brien/Oh & Tinney/Williams & Tracy,1,2,8,3,7,2,4,5,1,1,,1,,,,1,,1,,,,1,,,,,,,,,,,,,,,,
2,25,0225,2-25,Tie: Tracy/Tinney,1,,0,,2,,3,2,4,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,26,0226,2-26,Oh,2,Tie: Williams & Wolfe/Tracy & Wolfe,1,4,3,2,3,2,3,2,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
2,27,0227,2-27,Tie: Oh/Wolfe,1,,0,1,2,,5,1,7,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,0301,3-1,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,0302,3-2,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0303,3-3,Oh,1,,0,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,0304,3-4,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,0305,3-5,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,0306,3-6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,0307,3-7,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,0308,3-8,Tinney,1,,0,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,0309,3-9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,0310,3-10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,0311,3-11,Oh,1,Oh & Williams,1,,1,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
3,12,0312,3-12,Williams,2,,0,,3,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
3,13,0313,3-13,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,0314,3-14,Oh,2,,0,,3,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
3,15,0315,3-15,,0,Tinney & O'Brien,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
3,16,0316,3-16,Oh,1,,0,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,0317,3-17,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,18,0318,3-18,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19,0319,3-19,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,0320,3-20,Oh,8,Oh & Williams,1,,8,1,,,1,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
3,21,0321,3-21,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22,0322,3-22,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,0401,4-1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,0402,4-2,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,0403,4-3,Oh,2,,0,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0404,4-4,,0,Oh & Wolfe,1,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
4,5,0405,4-5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,0406,4-6,Tracy,1,,0,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,0407,4-7,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,0408,4-8,Oh,2,Oh & Wolfe,1,,2,1,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
4,9,0409,4-9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,0410,4-10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11,0411,4-11,Tinney,1,,0,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,0412,4-12,,0,,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,0413,4-13,Oh,1,Oh & Tracy,1,,1,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
4,14,0414,4-14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15,0415,4-15,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,16,0416,4-16,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17,0417,4-17,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,18,0418,4-18,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19,0419,4-19,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,0420,4-20,,0,Tracy & Wolfe,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
4,21,0421,4-21,,0,Tracy & Wolfe,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,1,0501,5-1,Wolfe,2,Tie: Oh & Tracy/Tinney & Wolfe/O'Brien & Wolfe/Taubenberger & Wolfe,1,2,4,4,7,1,16,1,,,,,2,1,,,1,,,,,,,,,,,,,,,,1,,1,1,,
5,2,0502,5-2,Oh,2,Oh & Wolfe,1,1,3,1,,1,6,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
5,3,0503,5-3,Wolfe,2,Tie: Oh & Tinney/Oh & Wolfe/Tracy & Taubenberger,1,2,5,3,10,1,13,1,,1,,,2,1,,,,1,,1,,,,,,,,,1,,,,,,,,,
5,4,0504,5-4,Wolfe,1,Tie: Oh & Tinney/Tracy & Wolfe,1,3,1,2,5,2,7,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,
5,5,0505,5-5,Tie: Oh/Tracy,2,Tie: Oh & Wolfe/Tracy & Tinney,1,5,6,2,5,,6,2,,2,1,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,
5,6,0506,5-6,Oh,2,Tracy & Wolfe,1,2,4,1,3,3,4,2,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,
5,7,0507,5-7,Oh,2,,0,1,2,,3,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,0508,5-8,Wolfe,2,,0,,3,,3,,4,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,0509,5-9,Tie: Oh/Tracy,2,Tie: Oh & Tracy/Oh & Williams/Tracy & Tinney/Tracy & Wolfe,1,1,5,4,3,,6,2,,2,,,1,,,,1,,,,1,,,,,,1,,,1,,,,,,,,
5,10,0510,5-10,Tie: Oh/Taubenberger,2,Tie: Oh & Tinney/Tracy & Wolfe/O'Brien & Wolfe,1,,5,3,2,2,9,2,,,,2,,1,,,,1,,,,,,,,,,,,1,,,,,1,,,
5,11,0511,5-11,Wolfe,1,Oh & Wolfe,1,1,1,1,3,,5,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
5,12,0512,5-12,Oh,17,Tie: Oh & Wolfe/Tinney & O'Brien,1,2,19,2,4,1,4,17,,,,,2,,,,,,,1,,,,,,,,,,,1,,,,,,,
5,13,0513,5-13,Oh,3,,0,,3,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14,0514,5-14,Oh,3,,0,1,3,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15,0515,5-15,Oh,3,,0,1,4,,2,,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,16,0516,5-16,Tie: Tracy/Williams,1,Oh & Wolfe,1,,2,1,2,1,2,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
5,17,0517,5-17,Tracy,1,Oh & Tracy,1,,1,1,4,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
5,18,0518,5-18,Tie: Oh/Tracy,3,Tracy & Wolfe,4,1,11,6,10,1,19,3,2,3,1,,1,1,,1,,,,,,,,1,,,,,,4,,,,,,,,
5,19,0519,5-19,Oh,3,Tie: Oh & O'Brien/Oh & Wolfe,1,2,8,2,6,3,9,3,,2,,2,1,,,1,,,,1,,,,,,,,,,,,,,,,,,
5,20,0520,5-20,Oh,2,,0,1,3,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,21,0521,5-21,Tie: Oh/Taubenberger,1,Tie: Oh & O'Brien/O'Brien & Wolfe,1,2,2,2,2,2,4,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,
5,22,0522,5-22,Tie: Tinney/Wolfe,1,Tie: Oh & Wolfe/Tracy & Tinney/Tracy & O'Brien/Tracy & Taubenberger,1,1,2,4,3,1,4,,,,1,,1,,,,,,,1,,,,,,,1,1,1,,,,,,,,,
5,23,0523,5-23,,0,,0,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,24,0524,5-24,Oh,2,Tracy & O'Brien,2,2,3,2,2,,5,2,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,
5,25,0525,5-25,Oh,2,,0,,3,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,26,0526,5-26,Oh,2,Tie: Oh & Tinney/Oh & Williams/Tracy & Wolfe,1,2,2,3,5,,4,2,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,
5,27,0527,5-27,Tracy,2,Oh & O'Brien,2,3,2,2,4,1,9,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
5,28,0528,5-28,,0,Tracy & Wolfe,1,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,29,0529,5-29,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,0601,6-1,,0,Oh & Write & In,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,2,0602,6-2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,0603,6-3,,0,Oh & Williams,1,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6,4,0604,6-4,Wolfe,1,,0,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,0605,6-5,,0,,0,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
