Ward,Division,WardDiv,Ward-Division,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh & O'Brien,Oh & Tracy,Oh & Tinney,Oh & Taubenberger,Oh & Wolfe,Oh & Williams,Williams & Tracy,Williams & Tinney,Williams & O'Brien,Williams & Taubenberger,Williams & Wolfe,Tracy & Tinney,Tracy & O'Brien,Tracy & Taubenberger,Tracy & Wolfe,Tinney & O'Brien,Tinney & Taubenberger,Tinney & Wolfe,O'Brien & Taubenberger,O'Brien & Wolfe,Taubenberger & Wolfe,Taubenberger & write-in,Oh & Write & In
8,11,0811,8-11,Tie: Oh/Write-in,1,Oh & O'Brien,1,1,2,1,1,,7,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
8,12,0812,8-12,Tracy,1,Oh & Tracy,1,,1,1,3,,6,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
8,13,0813,8-13,,0,Tie: Oh & Wolfe/Williams & Taubenberger,1,,,2,2,1,8,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
8,14,0814,8-14,Tracy,2,,0,1,4,,1,,4,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,15,0815,8-15,Tie: Oh/Tracy/Taubenberger,1,Tie: Oh & Wolfe/Oh & Williams/Tracy & Taubenberger/Tracy & Wolfe/O'Brien & Wolfe/Taubenberger & Wolfe,1,1,3,6,4,2,3,1,,1,,1,,,,,,,,1,1,,,,,,,,1,1,,,,,1,1,,
8,16,0816,8-16,Taubenberger,2,Tie: Oh & O'Brien/Williams & Taubenberger/Tracy & Taubenberger/Tracy & Wolfe,1,4,3,4,2,1,9,,1,,,2,,,,1,,,,,,,,,1,,,,1,1,,,,,,,,
8,17,0817,8-17,Tie: O'Brien/Wolfe/Williams,1,Tie: Oh & Williams/Tracy & Wolfe/Taubenberger & Wolfe,1,,3,3,5,,3,,1,,,,1,1,,,,,,,1,,,,,,,,,1,,,,,,1,,
8,18,0818,8-18,Tie: Oh/Tracy/Tinney,1,,0,2,3,,3,,6,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,19,0819,8-19,Tie: Oh/Tracy/Taubenberger,1,Tie: Williams & Tracy/Tinney & Wolfe,1,2,3,2,1,,5,1,,1,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,
8,20,0820,8-20,,0,Tracy & Wolfe,2,,,2,1,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
8,21,0821,8-21,Oh,2,Tie: Oh & O'Brien/Oh & Wolfe/Williams & Tracy/Tracy & Wolfe,1,1,4,4,6,2,7,2,,,,1,1,,,1,,,,1,,1,,,,,,,,1,,,,,,,,
8,22,0822,8-22,,0,Tie: Tracy & Wolfe/Tinney & O'Brien,1,1,,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
8,23,0823,8-23,Oh,2,Tinney & Taubenberger,1,2,3,1,3,,3,2,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
8,24,0824,8-24,Oh,1,Tracy & Wolfe,2,1,1,3,6,,10,1,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,
8,25,0825,8-25,Tracy,3,Tie: Oh & Tracy/Oh & Williams/Tracy & Wolfe,1,1,3,3,5,1,6,,,3,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,
8,26,0826,8-26,O'Brien,1,Oh & O'Brien,3,1,1,4,2,1,4,,1,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,
8,27,0827,8-27,Tracy,1,Taubenberger & Wolfe,1,,1,1,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,28,0828,8-28,,0,Tie: Tracy & Wolfe/Tinney & O'Brien,1,,,2,,1,6,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
8,29,0829,8-29,Oh,2,Tinney & O'Brien,2,4,4,7,10,3,8,2,,1,,,,1,,,,,1,,,1,,,,1,,,,1,2,,,,,,1,
8,30,0830,8-30,,0,Tie: Oh & Tinney/Tracy & Wolfe,1,,,2,,,3,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
9,1,0901,9-1,,0,Tracy & Wolfe,2,,,2,3,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
9,2,0902,9-2,Oh,2,,0,,2,,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,0903,9-3,,0,,0,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,0904,9-4,Oh,1,Tie: Oh & Tracy/Tracy & Tinney,1,3,1,2,5,1,8,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,
9,5,0905,9-5,Oh,4,Tie: Oh & Tracy/O'Brien & Wolfe,1,,5,2,3,,1,4,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,
9,6,0906,9-6,Oh,2,Tie: Oh & Tracy/Oh & Williams/Tracy & Tinney/Tracy & Wolfe/Tinney & O'Brien/Taubenberger & Wolfe,1,,4,6,3,1,6,2,,1,,,,1,,,1,,,,1,,,,,,1,,,1,1,,,,,1,,
9,7,0907,9-7,Wolfe,3,Tie: Oh & O'Brien/Oh & Tracy/Tinney & O'Brien,1,2,9,3,5,6,5,2,2,,,2,3,,,1,1,,,,,,,,,,,,,,1,,,,,,,
9,8,0908,9-8,Oh,2,Tracy & Wolfe,2,,2,3,2,,7,2,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,
9,9,0909,9-9,Oh,7,Tie: Oh & Tracy/O'Brien & Wolfe,2,2,8,6,6,1,3,7,1,,,,,,,,2,1,1,,,,,,,,,,,,,,,,2,,,
9,10,0910,9-10,Wolfe,3,Tracy & Wolfe,4,1,6,10,9,5,13,2,,,1,,3,,,1,,,2,,,,,,,1,,,,4,,,,1,,1,,
9,11,0911,9-11,Tie: Oh/O'Brien,1,Oh & Taubenberger,2,1,2,4,7,6,9,1,1,,,,,,,1,,,2,,,,,,,,,,,1,,,,,,,,
9,12,0912,9-12,Oh,2,Tracy & Tinney,1,1,2,1,1,2,6,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
9,13,0913,9-13,,0,,0,1,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14,0914,9-14,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15,0915,9-15,O'Brien,1,Williams & Wolfe,2,,1,2,,,1,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
9,16,0916,9-16,Wolfe,1,,0,,1,,3,1,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
9,17,0917,9-17,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
10,1,1001,10-1,,0,Tracy & Wolfe,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
10,2,1002,10-2,Oh,1,,0,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,1003,10-3,,0,,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4,1004,10-4,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,1005,10-5,,0,,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6,1006,10-6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7,1007,10-7,Williams,1,,0,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
10,8,1008,10-8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9,1009,10-9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,1010,10-10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,1011,10-11,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,1012,10-12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13,1013,10-13,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,14,1014,10-14,,0,Oh & Wolfe,1,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
10,15,1015,10-15,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,16,1016,10-16,,0,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,17,1017,10-17,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18,1018,10-18,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,1019,10-19,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20,1020,10-20,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,21,1021,10-21,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22,1022,10-22,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23,1023,10-23,,0,,0,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24,1024,10-24,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,25,1025,10-25,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,26,1026,10-26,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,27,1027,10-27,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,28,1028,10-28,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,29,1029,10-29,Oh,1,,0,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,01,1101,11-01,Tinney,1,,0,1,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,02,1102,11-02,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,03,1103,11-03,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,04,1104,11-04,,0,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,05,1105,11-05,Oh,1,,0,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,06,1106,11-06,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,07,1107,11-07,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,08,1108,11-08,,0,Oh & Tracy,1,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11,09,1109,11-09,,0,Tie: Oh & Tracy/Williams & Tracy,1,,,2,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
11,10,1110,11-10,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,1111,11-11,Williams,1,Williams & Tracy,2,,1,2,1,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,
11,12,1112,11-12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13,1113,11-13,Williams,1,,0,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11,14,1114,11-14,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,15,1115,11-15,,0,Williams & Tracy,1,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
11,16,1116,11-16,Tracy,1,,0,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17,1117,11-17,,0,,0,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,18,1118,11-18,Wolfe,1,,0,1,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
11,19,1119,11-19,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20,1120,11-20,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,1201,12-1,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,1202,12-2,Tracy,1,,0,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,1203,12-3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,1204,12-4,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
12,5,1205,12-5,Oh,1,,0,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6,1206,12-6,Oh,1,,0,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7,1207,12-7,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8,1208,12-8,Oh,1,,0,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9,1209,12-9,Tinney,1,,0,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10,1210,12-10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,1211,12-11,,0,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,1212,12-12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,1213,12-13,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14,1214,12-14,Williams,1,,0,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
12,15,1215,12-15,,0,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,16,1216,12-16,Tie: Oh/Tracy,1,Oh & Tracy,1,2,2,1,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
12,17,1217,12-17,Oh,1,,0,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18,1218,12-18,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,19,1219,12-19,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,1220,12-20,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,1221,12-21,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,22,1222,12-22,Williams,1,,0,,1,,2,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
12,23,1223,12-23,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,24,1224,12-24,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,1301,13-1,Oh,1,Oh & Wolfe,1,1,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
13,2,1302,13-2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,1303,13-3,Tracy,1,Taubenberger & Wolfe,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
13,4,1304,13-4,,0,,0,1,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5,1305,13-5,,0,,0,,,,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6,1306,13-6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7,1307,13-7,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8,1308,13-8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9,1309,13-9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10,1310,13-10,Oh,1,,0,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11,1311,13-11,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,1312,13-12,,0,,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,1313,13-13,,0,,0,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,1314,13-14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15,1315,13-15,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,16,1316,13-16,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17,1317,13-17,Wolfe,1,,0,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
13,18,1318,13-18,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,19,1319,13-19,Tinney,2,Oh & O'Brien,1,1,3,1,,,,1,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,
13,20,1320,13-20,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,21,1321,13-21,Tracy,3,Oh & Tracy,1,1,3,1,,,2,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
13,22,1322,13-22,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,23,1323,13-23,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,24,1324,13-24,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,25,1325,13-25,,0,Williams & Tracy,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
14,1,1401,14-1,,0,,0,1,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,1402,14-2,Williams,1,,0,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
14,3,1403,14-3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,1404,14-4,Oh,1,Oh & O'Brien,1,,1,1,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
14,5,1405,14-5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6,1406,14-6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7,1407,14-7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8,1408,14-8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9,1409,14-9,Tinney,1,Tracy & Wolfe,2,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14,10,1410,14-10,,0,Tracy & Wolfe,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
14,11,1411,14-11,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,01,1501,15-01,Oh,3,Tie: Oh & Tinney/Oh & Taubenberger/Oh & Wolfe/Taubenberger & Wolfe,1,3,4,4,1,1,3,3,,,,,1,,,,,1,1,1,,,,,,,,,,,,,,,,1,,
15,02,1502,15-02,Oh,2,Tie: Oh & Tracy/Oh & Williams,1,,2,2,2,,7,2,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
15,03,1503,15-03,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,04,1504,15-04,Oh,3,Tie: Oh & Tracy/O'Brien & Taubenberger,1,4,6,2,3,1,4,3,,,,2,1,,,,1,,,,,,,,,,,,,,,,,1,,,,
15,05,1505,15-05,Oh,1,Tracy & Taubenberger,1,,1,1,1,2,7,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
15,06,1506,15-06,Oh,2,,0,2,4,,2,2,14,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
15,07,1507,15-07,,0,Oh & Williams,1,1,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15,08,1508,15-08,Taubenberger,1,,0,,1,,1,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
15,09,1509,15-09,Tracy,2,Tracy & Wolfe,2,3,5,4,3,1,9,,1,2,1,,,1,,,1,,,,,1,,,,,,,,2,,,,,,,,
15,10,1510,15-10,Tracy,1,,0,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11,1511,15-11,Oh,1,,0,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,1512,15-12,Tie: Oh/O'Brien/Wolfe,1,Oh & Wolfe,2,,3,4,1,,1,1,1,,,,1,,,,1,,,2,,,,,,,,,,1,,,,,,,,
15,13,1513,15-13,Oh,1,,0,2,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,1514,15-14,Oh,2,Tie: Oh & Tracy/Oh & Taubenberger/Williams & Tracy/Williams & O'Brien,1,,2,4,1,1,9,2,,,,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,,
15,15,1515,15-15,Oh,1,Oh & Taubenberger,1,,1,1,2,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
15,16,1516,15-16,Tie: Oh/Williams,1,,0,,2,,1,2,8,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
15,17,1517,15-17,Oh,2,Tie: Tinney & Wolfe/Taubenberger & Wolfe,1,2,3,2,1,4,5,2,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,
15,18,1518,15-18,Tracy,1,Oh & O'Brien,2,,1,3,1,,3,,,1,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,
15,19,1519,15-19,Oh,6,Tinney & O'Brien,1,,6,1,1,1,5,6,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
16,1,1601,16-1,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,1602,16-2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,1603,16-3,Tracy,1,,0,2,1,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,1604,16-4,,0,,0,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,1605,16-5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6,1606,16-6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7,1607,16-7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,8,1608,16-8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9,1609,16-9,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10,1610,16-10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11,1611,16-11,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,1612,16-12,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,13,1613,16-13,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14,1614,16-14,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15,1615,16-15,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,1616,16-16,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
16,17,1617,16-17,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,18,1618,16-18,,0,Tinney & Taubenberger,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
17,1,1701,17-1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,1702,17-2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,1703,17-3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4,1704,17-4,Oh,22,,0,1,22,,1,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5,1705,17-5,Oh,1,,0,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6,1706,17-6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7,1707,17-7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8,1708,17-8,,0,Williams & Wolfe,1,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
17,9,1709,17-9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10,1710,17-10,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,11,1711,17-11,,0,,0,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,1712,17-12,,0,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,13,1713,17-13,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,14,1714,17-14,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,15,1715,17-15,,0,,0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16,1716,17-16,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,1717,17-17,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,1718,17-18,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,19,1719,17-19,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20,1720,17-20,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,21,1721,17-21,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,22,1722,17-22,,0,Oh & Tracy,1,,,1,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
17,23,1723,17-23,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,24,1724,17-24,,0,Tie: Oh & O'Brien/Oh & Tracy,1,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
17,25,1725,17-25,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,26,1726,17-26,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,27,1727,17-27,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,28,1728,17-28,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,29,1729,17-29,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
