Ward,Division,WardDiv,Ward-Division,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Neilson,Rizzo,Wyatt,Gym,Domb,Green,Steinke,Reynolds Brown,Goode,Aument-Loughrey,Cohen,Alexander,Thomas,Greenlee,Cain,Ayers,Write in,Wyatt & Neilson,Green & Greenlee,Green & Domb,Domb & Rizzo,Greenlee & Neilson,Neilson & Rizzo,Domb & Gym,Wyatt & Greenlee,Greenlee & Gym,Wyatt & Cohen,Green & Rizzo,Steinke & Rizzo,Steinke & Goode,Domb & Steinke,Green & Wyatt,Cohen & Gym,Reynolds-Brown & Neilson,Cohen & Thomas,Wyatt & Rizzo,Domb & Neilson,Wyatt & Gym,Domb & Wyatt,Gym & Thomas,Reynolds-Brown & Steinke,Wyatt & Steinke,Green & Gym,Steinke & Gym,Ayers & Gym,Domb & Reynolds-Brown,Green & Aument-Loughrey,Reynolds-Brown & Cohen,Gym & Neilson,Green & Neilson,Neilson & Goode,Domb & Aument & Loughrey,Steinke & Neilson,Green & Ayers,Aument-Loughrey & Gym,Green & Goode,Steinke & Cohen,Reynolds-Brown & Goode,Cohen & Neilson,Rizzo & Goode,Gym & Goode,Thomas & Goode,Greenlee & Rizzo,Domb & Greenlee,Ayers & Reynolds-Brown,Reynolds-Brown & Gym,Ayers & Aument-Loughrey,Reynolds-Brown & Thomas,Wyatt & Reynolds-Brown,Green & Cohen,Aument-Loughrey & Greenlee,Cohen & Cain,Gym & Rizzo,Ayers & Wyatt,Alexander & Cain,Ayers & Domb,Reynolds-Brown & Rizzo,Cain & Aument-Loughrey,Reynolds-Brown & Greenlee,Greenlee & Goode,Cain & Reynolds-Brown,Ayers & Cain,Ayers & Steinke,Green & Thomas,Aument-Loughrey & Rizzo,Cohen & Goode,Green & Cain,Cohen & Rizzo,Domb & Cohen,Neilson & Thomas,Domb & Thomas,Wyatt & Thomas,Cain & Gym,Cain & Rizzo,Ayers & Cohen,Alexander & Thomas,Rizzo & Thomas,Ayers & Alexander,Cohen & Greenlee,Steinke & Greenlee,Cain & Thomas,Alexander & Rizzo,Reynolds-Brown & Aument-Loughrey,Cain & Goode,Aument-Loughrey & Neilson,Alexander & Gym,Steinke & Aument-Loughrey,Cain & Steinke,Alexander & Wyatt,Aument-Loughrey & Thomas,Greenlee & Thomas,Ayers & Thomas,Alexander & Neilson,Alexander & Cohen,Ayers & Neilson,Aument-Loughrey & Cohen,Domb & Cain,Wyatt & Goode,Cain & Greenlee,Wyatt & Cain,Alexander & Goode,Alexander & Reynolds-Brown,Ayers & Goode,Reynolds-Brown & Green,Gym & Write-in,Ayers & Greenlee,Cain & Cohen,Alexander & Steinke,Wyatt & Aument-Loughrey,Cain & Neilson,Rizzo & Write-in,Alexander & Greenlee,Alexander & Aument-Loughrey,Thomas/Write & In,Green & Reynolds-Brown,Green & Alexander,Green & Steinke,Ayers & Rizzo,Alexander & Domb,Domb & Goode,Steinke & Thomas,Aument-Loughrey & Goode,Alexander & Write-In
19,9,1909,19-9,Neilson,5,Tie: Domb & Gym/Domb & Wyatt/Reynolds-Brown & Steinke/Neilson & Goode/Green & Reynolds-Brown,1,67,20,5,6,3,7,5,,,1,4,2,1,2,,,,2,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
19,10,1910,19-10,Ayers,6,Greenlee & Neilson,3,62,33,8,23,21,20,3,1,1,,1,10,,2,,2,,3,,2,2,6,,,,,,3,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,11,1911,19-11,Green,7,Tie: Neilson & Goode/Wyatt & Thomas/Green & Alexander,1,68,22,3,5,12,9,2,,1,,,7,2,1,1,1,,1,1,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
19,12,1912,19-12,Tie: Neilson/Reynolds Brown,4,Domb & Reynolds-Brown,2,59,22,10,9,11,26,4,2,,3,1,3,,4,,,1,2,1,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,13,1913,19-13,Green,9,Tie: Neilson & Rizzo/Domb & Gym/Wyatt & Reynolds-Brown/Green & Thomas/Green & Alexander,1,60,28,5,10,9,12,2,1,,,,9,,1,,1,1,1,5,2,2,3,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
19,14,1914,19-14,Tie: Green/Alexander/Ayers,2,Tie: Ayers & Gym/Aument-Loughrey & Neilson/Green & Alexander,1,15,9,3,6,3,2,,,1,,1,2,,,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
19,15,1915,19-15,Tie: Green/Alexander,4,Tie: Greenlee & Neilson/Reynolds-Brown & Neilson,2,42,18,6,10,27,13,1,,,1,2,4,,1,,1,,4,2,,,2,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
19,16,1916,19-16,Green,7,Tie: Green & Ayers/Ayers & Alexander/Aument-Loughrey & Neilson/Wyatt & Cain,1,88,21,4,18,19,17,,,,1,1,7,,5,1,,1,1,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
19,17,1917,19-17,Green,4,Tie: Reynolds-Brown & Neilson/Reynolds-Brown & Steinke/Green & Ayers/Reynolds-Brown & Greenlee/Reynolds-Brown & Aument-Loughrey/Aument-Loughrey & Neilson,1,47,12,6,7,2,5,2,1,,,1,4,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,18,1918,19-18,Tie: Green/Thomas,7,Tie: Alexander & Thomas/Ayers & Thomas,2,64,28,10,3,2,5,2,1,2,,2,7,1,,,,,1,7,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,1919,19-19,Neilson,9,Aument-Loughrey & Neilson,2,35,19,5,10,10,6,9,2,,,1,2,1,,,,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,2001,20-1,Domb,4,Greenlee & Neilson,2,34,18,6,6,6,27,,1,2,2,4,3,1,1,,,,1,,,1,2,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,2002,20-2,Green,6,Thomas & Goode,3,14,23,9,3,1,23,,1,3,2,,6,,2,,,,2,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,2003,20-3,Thomas,7,Tie: Green & Domb/Green & Ayers,2,32,42,9,15,15,72,,,,1,3,15,,4,2,,,2,7,,2,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,
20,4,2004,20-4,Alexander,5,Green & Ayers,4,64,43,16,13,9,28,,,3,1,4,10,1,3,3,,,5,1,1,,11,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,2,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,
20,5,2005,20-5,Greenlee,5,Ayers & Greenlee,2,15,15,5,1,6,13,,1,,,2,3,,,1,1,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
20,6,2006,20-6,Ayers,9,Reynolds-Brown & Goode,4,26,62,23,23,17,120,1,2,4,1,3,14,,7,8,,,3,7,1,2,9,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,3,,,,,,,,,,1,,4,,1,,2,,,1,,,1,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
20,7,2007,20-7,Ayers,3,Green & Thomas,2,32,23,10,12,6,51,,,,,2,11,,2,2,,,1,1,,1,3,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,8,2008,20-8,Domb,4,Wyatt & Neilson,1,11,9,1,2,2,20,2,,,,4,,,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,9,2009,20-9,Green,5,Tie: Gym & Thomas/Green & Ayers,1,19,9,2,6,4,15,,,,,,5,,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10,2010,20-10,Ayers,6,Greenlee & Thomas,4,16,38,15,16,6,32,1,,,2,2,11,1,1,,1,,,2,10,1,6,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,
20,11,2011,20-11,Tie: Wyatt/Thomas,1,Reynolds-Brown & Thomas,1,2,2,1,,1,5,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,2101,21-1,Gym,5,Greenlee & Neilson,3,12,15,7,7,9,37,,2,,5,3,,2,1,,,,,,1,,1,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
21,2,2102,21-2,Ayers,5,Greenlee & Neilson,4,13,15,15,8,12,32,,1,1,1,,1,,1,1,,,2,,1,1,5,,,,,2,4,,1,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,2103,21-3,Tie: Reynolds Brown/Greenlee,4,Reynolds-Brown & Goode,3,7,15,11,9,12,54,,,1,1,,2,,4,,,,,3,4,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
21,4,2104,21-4,Domb,3,Cohen & Gym,3,8,7,7,,5,18,,,,1,3,,,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5,2105,21-5,Domb,8,Tie: Domb & Rizzo/Greenlee & Neilson,3,26,29,28,25,17,81,,7,,1,8,2,,,1,,1,,1,3,2,3,,,,1,3,3,1,1,,1,,,,,2,,1,,,,,,,,1,1,,2,,1,,1,,,,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,
21,6,2106,21-6,Ayers,4,Tie: Greenlee & Neilson/Domb & Wyatt,2,9,13,8,9,4,23,,1,2,,1,2,,,,,,1,1,1,,4,,,,,,2,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7,2107,21-7,Domb,5,Tie: Greenlee & Neilson/Cohen & Gym/Steinke & Gym,1,11,21,3,7,5,28,,1,,4,5,2,2,3,,,1,,,1,,2,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8,2108,21-8,Tie: Reynolds Brown/Ayers,3,Greenlee & Neilson,3,5,10,4,6,6,28,,1,,,1,,,3,,,,,,2,,3,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9,2109,21-9,Rizzo,6,Tie: Greenlee & Neilson/Greenlee & Gym/Cohen & Gym,1,16,24,3,7,2,38,2,6,,5,4,2,2,,,,,,,,1,2,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10,2110,21-10,Green,4,Tie: Domb & Rizzo/Cohen & Greenlee,2,9,14,11,9,10,22,,2,,1,3,4,,1,,,,,,3,,,,,,,2,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
21,11,2111,21-11,Alexander,3,Cohen & Gym,3,17,14,11,8,13,46,,1,2,2,,2,1,1,,,,3,2,,,,,,,,1,,,1,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,12,2112,21-12,Tie: Rizzo/Domb/Ayers,3,Tie: Domb & Rizzo/Cohen & Gym,2,8,14,11,9,10,48,,3,,2,3,,1,,,,2,,,,,3,,,,,2,1,1,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
21,13,2113,21-13,Ayers,5,Greenlee & Neilson,5,11,19,18,4,8,43,1,3,2,2,3,1,1,,,,,,,,1,5,,,,,,5,,1,,1,,,1,,2,,1,1,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14,2114,21-14,Domb,6,Tie: Greenlee & Gym/Domb & Steinke/Cohen & Gym/Domb & Reynolds-Brown/Reynolds-Brown & Goode/Rizzo & Goode,2,12,22,24,20,30,112,,2,,1,6,,,5,,,,,,4,,4,,,1,,,,,,,2,,,,,2,,2,,,,,,,,1,,1,1,,2,,,,,,,,,,,,2,,2,,,,,1,,,1,,,1,,1,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
21,15,2115,21-15,Greenlee,7,Greenlee & Neilson,4,18,19,21,7,8,50,1,,,3,2,2,,,,,,,,7,,4,,,,,1,4,,2,,,,,,,,1,1,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,
21,16,2116,21-16,Rizzo,6,Tie: Domb & Rizzo/Domb & Wyatt/Domb & Greenlee/Gym & Rizzo/Ayers & Rizzo,1,14,18,5,10,6,35,1,6,2,1,3,,,,,,1,,,1,1,2,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
21,17,2117,21-17,Domb,7,Domb & Steinke,3,13,31,15,15,11,62,,2,1,6,7,1,1,5,,1,1,,,1,2,3,,,,,,,,1,,,,,,,3,,1,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,
21,18,2118,21-18,Gym,9,Cohen & Gym,2,10,15,10,17,12,48,1,,1,9,1,,1,,,,,,,1,,1,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
21,19,2119,21-19,Tie: Rizzo/Domb,4,Tie: Greenlee & Gym/Steinke & Gym,2,9,25,11,11,8,48,,4,,11,4,1,1,,,1,,,,1,1,1,,,,,,,,1,,2,,,,1,1,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
21,20,2120,21-20,Gym,8,Cohen & Gym,3,4,15,16,7,10,39,,1,,8,,2,,,,,,1,,2,1,,,,,,2,,,1,,2,,,,,,,3,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,2121,21-21,Gym,5,Tie: Domb & Gym/Greenlee & Gym/Domb & Steinke/Steinke & Gym/Green & Ayers/Greenlee & Rizzo/Cain & Reynolds-Brown/Steinke & Greenlee,1,14,22,8,16,9,33,,3,,5,4,1,1,,1,,,,,3,1,3,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,2122,21-22,Tie: Domb/Ayers,5,Steinke & Gym,4,15,33,15,21,14,74,1,10,1,3,5,2,,1,1,,1,,,2,1,5,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
21,23,2123,21-23,Tie: Gym/Domb,5,Domb & Steinke,5,14,27,26,24,23,105,,1,,5,5,3,1,2,4,1,,2,2,1,,,,,,,,1,,4,,1,,,,,5,,,,,,,,,,1,,,1,,2,,,,,,,,,,,,,,,2,1,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
21,24,2124,21-24,Tie: Rizzo/Domb/Reynolds Brown/Goode/Ayers,3,Tie: Greenlee & Gym/Reynolds-Brown & Goode/Green & Reynolds-Brown,3,25,30,42,39,51,184,,3,,11,3,,,3,3,,2,,1,1,,3,,,,,,1,,,,3,,,,,1,,10,,,,,1,,,,2,,2,,,,,1,,,,,,,,1,3,,,1,,,,,2,,1,,,,,,,,,1,,,2,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,1,1,,,,1,,
21,25,2125,21-25,Gym,8,Greenlee & Neilson,5,18,20,15,13,14,59,,3,,8,3,2,1,,,,1,,,,1,1,,,,,1,5,,1,,1,,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,26,2126,21-26,Domb,7,Greenlee & Neilson,4,18,23,15,13,9,48,1,2,,5,7,3,,,,,1,,1,3,,,,,,,,4,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
21,27,2127,21-27,Domb,6,Greenlee & Gym,2,22,16,8,15,11,42,,2,,,6,,,3,,,,1,1,1,,2,,,,,,,,,,2,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,28,2128,21-28,Gym,6,Tie: Greenlee & Gym/Cohen & Gym,3,16,26,20,32,14,61,3,3,1,6,2,3,5,,,,,,,2,,1,,,,,1,1,,2,,3,,,,,2,,3,,1,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,29,2129,21-29,Rizzo,7,Tie: Domb & Greenlee/Reynolds-Brown & Greenlee,3,12,24,28,11,14,62,2,7,,1,3,3,,,,,2,1,,2,,3,,,,,,10,1,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,,2,3,,1,,,,1,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
21,30,2130,21-30,Domb,9,Domb & Steinke,8,26,27,32,23,11,98,,1,1,3,9,,2,2,,,1,2,3,,,3,,,,,2,7,,,,1,,1,1,1,8,,,,,,,,1,1,,1,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
21,31,2131,21-31,Rizzo,7,Tie: Green & Domb/Ayers & Cohen,2,20,26,16,29,17,56,1,7,1,,5,1,1,1,,,1,,,4,,4,,,,2,,,,,,,,1,,,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
21,32,2132,21-32,Rizzo,7,Tie: Domb & Rizzo/Greenlee & Gym,3,15,29,20,30,12,67,1,7,1,3,5,1,1,1,,,1,,,4,,4,,,,,3,,,,,3,,1,1,,,,,,,1,,,1,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
21,33,2133,21-33,Domb,7,Greenlee & Gym,4,24,41,31,43,32,132,,4,,12,7,2,2,,,1,,,,2,1,10,,,,,3,,1,,,4,,,1,,2,,3,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,1,1,,,
21,34,2134,21-34,Gym,8,Cohen & Gym,4,36,52,30,47,34,129,1,10,2,8,13,4,,,,,3,1,,3,,7,,,1,,3,2,,1,,,,,,,2,,4,,,2,,,1,,,,,2,,1,1,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
21,35,2135,21-35,Gym,7,Tie: Domb & Steinke/Reynolds-Brown & Goode,2,14,28,14,14,12,68,2,4,,7,3,4,,1,1,1,1,,1,3,,,,,,,,,,,,,,1,,,2,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
