Ward,Division,WardDiv,Ward-Division,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Neilson,Rizzo,Wyatt,Gym,Domb,Green,Steinke,Reynolds Brown,Goode,Aument-Loughrey,Cohen,Alexander,Thomas,Greenlee,Cain,Ayers,Write in,Wyatt & Neilson,Green & Greenlee,Green & Domb,Domb & Rizzo,Greenlee & Neilson,Neilson & Rizzo,Domb & Gym,Wyatt & Greenlee,Greenlee & Gym,Wyatt & Cohen,Green & Rizzo,Steinke & Rizzo,Steinke & Goode,Domb & Steinke,Green & Wyatt,Cohen & Gym,Reynolds-Brown & Neilson,Cohen & Thomas,Wyatt & Rizzo,Domb & Neilson,Wyatt & Gym,Domb & Wyatt,Gym & Thomas,Reynolds-Brown & Steinke,Wyatt & Steinke,Green & Gym,Steinke & Gym,Ayers & Gym,Domb & Reynolds-Brown,Green & Aument-Loughrey,Reynolds-Brown & Cohen,Gym & Neilson,Green & Neilson,Neilson & Goode,Domb & Aument & Loughrey,Steinke & Neilson,Green & Ayers,Aument-Loughrey & Gym,Green & Goode,Steinke & Cohen,Reynolds-Brown & Goode,Cohen & Neilson,Rizzo & Goode,Gym & Goode,Thomas & Goode,Greenlee & Rizzo,Domb & Greenlee,Ayers & Reynolds-Brown,Reynolds-Brown & Gym,Ayers & Aument-Loughrey,Reynolds-Brown & Thomas,Wyatt & Reynolds-Brown,Green & Cohen,Aument-Loughrey & Greenlee,Cohen & Cain,Gym & Rizzo,Ayers & Wyatt,Alexander & Cain,Ayers & Domb,Reynolds-Brown & Rizzo,Cain & Aument-Loughrey,Reynolds-Brown & Greenlee,Greenlee & Goode,Cain & Reynolds-Brown,Ayers & Cain,Ayers & Steinke,Green & Thomas,Aument-Loughrey & Rizzo,Cohen & Goode,Green & Cain,Cohen & Rizzo,Domb & Cohen,Neilson & Thomas,Domb & Thomas,Wyatt & Thomas,Cain & Gym,Cain & Rizzo,Ayers & Cohen,Alexander & Thomas,Rizzo & Thomas,Ayers & Alexander,Cohen & Greenlee,Steinke & Greenlee,Cain & Thomas,Alexander & Rizzo,Reynolds-Brown & Aument-Loughrey,Cain & Goode,Aument-Loughrey & Neilson,Alexander & Gym,Steinke & Aument-Loughrey,Cain & Steinke,Alexander & Wyatt,Aument-Loughrey & Thomas,Greenlee & Thomas,Ayers & Thomas,Alexander & Neilson,Alexander & Cohen,Ayers & Neilson,Aument-Loughrey & Cohen,Domb & Cain,Wyatt & Goode,Cain & Greenlee,Wyatt & Cain,Alexander & Goode,Alexander & Reynolds-Brown,Ayers & Goode,Reynolds-Brown & Green,Gym & Write-in,Ayers & Greenlee,Cain & Cohen,Alexander & Steinke,Wyatt & Aument-Loughrey,Cain & Neilson,Rizzo & Write-in,Alexander & Greenlee,Alexander & Aument-Loughrey,Thomas/Write & In,Green & Reynolds-Brown,Green & Alexander,Green & Steinke,Ayers & Rizzo,Alexander & Domb,Domb & Goode,Steinke & Thomas,Aument-Loughrey & Goode,Alexander & Write-In
1,11,0111,1-11,Tie: Rizzo/Cohen,3,Wyatt & Gym,9,31,37,23,40,21,95,,3,12,12,2,,1,,,1,3,,,2,,1,,1,,,,,,1,1,1,,,,,,,1,,,,,9,2,,,1,,2,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,0112,1-12,Tie: Gym/Green,6,Reynolds-Brown & Steinke,2,20,29,8,8,7,27,,3,5,6,3,6,,1,,,1,1,1,,,2,,,,,,1,,,,1,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,0113,1-13,Tie: Domb/Green,6,Tie: Greenlee & Neilson/Domb & Gym/Cohen & Gym/Domb & Wyatt/Reynolds-Brown & Thomas/Green & Alexander,1,22,33,6,10,9,44,,3,2,4,6,6,1,,,,1,1,3,2,,4,,,,,,1,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1,14,0114,1-14,Tie: Neilson/Gym,5,Tie: Wyatt & Neilson/Greenlee & Neilson/Cohen & Gym/Wyatt & Gym/Domb & Wyatt/Reynolds-Brown & Steinke/Steinke & Gym/Ayers & Gym/Rizzo & Goode/Wyatt & Reynolds-Brown/Green & Cohen/Aument-Loughrey & Greenlee,1,22,30,12,14,10,42,5,2,3,5,2,4,3,,,,1,1,1,1,1,1,,1,,,,1,,,,,,,,,,,1,,,,,1,1,,1,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,0115,1-15,Tie: Wyatt/Domb,6,Neilson & Rizzo,3,62,43,17,22,11,71,10,4,6,3,6,2,2,1,,2,2,,1,,1,3,,,1,1,2,1,3,,,,,,,,,,,,,,2,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,0116,1-16,Gym,6,Tie: Cohen & Gym/Steinke & Gym/Green & Ayers/Gym & Goode/Ayers & Reynolds-Brown,2,19,16,12,13,11,29,,1,1,6,2,1,,,,,,2,2,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,2,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,0117,1-17,Tie: Wyatt/Gym,9,Domb & Rizzo,3,48,57,21,18,10,46,13,8,9,9,7,2,,1,1,1,,,1,2,1,2,,,,,3,1,1,2,,,,,,,,,1,,,2,,,,2,,,,1,,,,1,1,,,,,,,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,0118,1-18,Gym,5,Tie: Neilson & Rizzo/Domb & Neilson,5,42,84,18,20,13,38,47,10,3,5,10,3,2,,,,1,,,2,1,,,,,,1,2,5,2,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,0119,1-19,Rizzo,8,Tie: Wyatt & Neilson/Neilson & Rizzo,3,53,68,23,27,13,51,33,8,12,3,5,,2,1,,,,,,1,1,2,,3,,,1,1,3,,,,,,,,,,,,,1,2,1,,,,,,1,,1,1,1,2,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,0120,1-20,Wyatt,7,Domb & Wyatt,7,27,25,20,50,26,70,,6,7,6,4,,,,,,,,1,1,,,,1,,,,2,,,,,,,,,,,1,,,,,2,7,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
