,# of Votes per Voter,,,,,,Bullet Votes Per Candidate,,,,,,,,Double Bullet Pairs,,,,,,,,,,,,,,,,,,,,,,
Div,0,1,2,3,4,5,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh O'Brien,Oh Tracy,Oh Tinney,Oh Taubenberger,Oh Wolfe,Oh Williams,Williams Tracy,Williams Tinney,Williams O'Brien,Williams Taubenberger,Williams Wolfe,Tracy Tinney,Tracy O'Brien,Tracy Taubenberger,Tracy Wolfe,Tinney O'Brien,Tinney Taubenberger,Tinney Wolfe,O'Brien Taubenberger,O'Brien Wolfe,Taubenberger Wolfe,Taubenberger write-in,Oh Write In
10-17,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-18,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-23,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-25,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-27,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-29,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-01,1,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-04,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-08,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11-09,,,2,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
11-10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-11,,1,2,1,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,
11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-13,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-15,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
11-16,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-17,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-18,1,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-2,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-4,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
12-5,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-6,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-7,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-8,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-9,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-11,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
12-15,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-16,2,2,1,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
12-17,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-18,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-22,,1,,2,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-24,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-1,1,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
13-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-3,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
13-4,1,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-5,,,,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-10,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-11,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-12,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-13,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-17,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
13-18,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-19,1,3,1,,,,1,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,
13-20,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-21,1,3,1,,,2,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
13-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-25,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-1,1,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-2,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
14-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-4,,1,1,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
14-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-9,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14-10,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
14-11,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-01,3,4,4,1,1,3,3,,,,,1,,,,,1,1,1,,,,,,,,,,,,,,,,1,,
15-02,0,2,2,2,0,7,2,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
15-03,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-04,4,6,2,3,1,4,3,,,,2,1,,,,1,,,,,,,,,,,,,,,,,1,,,,
15-05,0,1,1,1,2,7,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
15-06,2,4,0,2,2,14,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
15-07,1,0,1,1,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
15-08,0,1,0,1,0,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
15-09,3,5,4,3,1,9,,1,2,1,,,1,,,1,,,,,1,,,,,,,,2,,,,,,,,
15-10,2,1,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-11,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-12,0,3,4,1,0,1,1,1,,,,1,,,,1,,,2,,,,,,,,,,1,,,,,,,,
15-13,2,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-14,0,2,4,1,1,9,2,,,,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,,
15-15,0,1,1,2,0,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
15-16,0,2,0,1,2,8,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
15-17,2,3,2,1,4,5,2,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,
15-18,0,1,3,1,0,3,,,1,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,
15-19,0,6,1,1,1,5,6,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-3,2,1,0,3,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-4,0,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-9,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-12,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-14,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-16,0,1,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
16-17,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-18,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-4,1,22,,1,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-5,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-8,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
17-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-10,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-11,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-14,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-15,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-19,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-21,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-22,,,1,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
17-23,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-24,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
17-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-29,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-1,2,2,1,5,2,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
18-2,3,1,3,1,1,6,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,
18-3,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-4,2,3,2,2,1,3,,,2,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
18-5,2,5,2,4,1,4,2,1,,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
18-6,1,1,,5,1,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
18-7,,1,2,2,2,1,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
18-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-9,,2,1,,0,3,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
18-10,3,5,2,2,,2,3,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
18-11,1,6,3,3,,5,2,,2,2,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,
18-12,,4,4,3,2,8,2,1,,1,,,,,,,1,1,,,,,,,,,,,,2,,,,,,,
18-13,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-14,1,1,1,,,2,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
18-15,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-16,1,3,1,1,,2,1,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
18-17,,3,1,,2,,2,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-1,0,3,1,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
19-2,1,1,0,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-4,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
19-5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-7,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
19-8,2,2,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
19-9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-10,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-11,2,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,
19-12,1,,2,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
19-13,3,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
19-14,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
19-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-17,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
19-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-1,0,0,1,2,0,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
20-2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-4,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-6,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-7,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
20-8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-1,1,1,,4,1,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-2,2,4,2,4,2,6,2,,1,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
21-3,1,1,1,2,1,3,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
21-4,,3,,,1,4,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
21-5,1,3,6,7,6,18,1,,1,,,1,,,1,2,,,,,,1,,,,,1,,,,,,,,1,,
21-6,1,3,2,1,4,2,1,,,,,2,,,1,,1,,,,,,,,,,,,,,,,,,,,
21-7,1,1,,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-8,,3,1,2,,3,1,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
21-9,,1,1,1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
21-10,1,2,6,4,1,3,,,1,,,,1,,,2,,1,1,,1,,,,,,1,,,,,,,,,,
21-11,1,2,,1,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-12,,2,,2,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-13,,1,2,1,7,7,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,
21-14,1,5,1,2,1,2,2,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,
21-15,1,1,2,4,3,8,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,
21-16,,1,2,7,1,7,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
21-17,,2,4,1,1,7,1,,1,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,
21-18,3,4,3,2,,3,,,1,,,,3,,,1,,,,,,,,,,,,,,1,,1,,,,,
21-19,,4,,3,,4,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-20,2,2,2,3,3,4,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
21-21,1,3,1,8,2,7,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
21-22,3,7,2,11,1,16,4,1,2,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,
21-23,,2,,0,2,4,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
21-24,,,2,2,3,5,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
21-25,4,5,4,12,1,7,4,,,,,1,,,,,1,,1,,,,,,,,,1,,,,1,,,,,
21-26,,7,3,4,1,10,3,,1,1,,1,1,,1,,,,1,,,,,,,,,,,,,,,,1,,
21-27,,1,,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-28,,5,2,6,1,7,2,,1,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
21-29,1,7,1,8,2,11,3,,2,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
21-30,1,5,3,1,2,5,,,2,2,,,1,,,,1,1,,,,,,,,,,,,,,,1,,,,
21-31,2,5,4,2,2,13,2,,2,,1,,,,,,1,,,,,,,,,,,,,2,,1,,,,,
21-32,2,1,3,4,5,10,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,1,,
21-33,5,11,7,10,6,12,6,3,1,,,1,,,,,,,,,2,,,,,2,1,,,1,,,,,1,,
21-34,3,7,3,7,9,19,3,2,,,,2,,,1,,,,,,,,,,,,2,,,,,,,,,,
21-35,2,1,1,5,2,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
21-36,,2,1,4,2,6,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
21-37,4,3,,3,2,5,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
21-38,2,3,6,6,3,16,2,,,1,,,,,,,,3,,,,,,,,,,,,1,,,1,,1,,
21-39,1,3,2,3,3,19,2,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
21-40,4,6,5,3,1,9,3,,1,,,1,1,,,1,1,,,1,1,,,,,1,,,,,,,,,,,
21-41,4,11,7,4,1,14,4,4,1,,2,,,,1,,,1,,,,,,,,1,2,,,,,,1,,1,,
21-42,3,4,2,7,7,9,1,2,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,
21-43,,3,1,9,3,8,1,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,
21-44,3,10,4,9,7,13,6,,1,,2,1,,,,1,1,,,,,,,,,,,,,,2,,,,,,
21-45,4,6,8,7,2,17,2,1,1,,1,,1,,,1,,1,1,,,,,,,2,,,,2,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-1,0,2,1,2,0,6,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
22-2,0,1,0,1,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-3,,2,,,1,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
22-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-5,,2,1,,,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
22-6,,2,,2,,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-7,,6,1,,,3,,,5,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,
22-8,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
22-9,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-10,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-11,,3,,2,1,3,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
22-12,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-14,,2,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-16,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-18,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-19,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-22,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-23,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-24,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-25,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-26,2,1,2,0,0,3,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,
22-27,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-28,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-29,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-1,0,2,1,1,0,0,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
23-2,0,3,0,1,0,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
23-3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-4,1,2,1,5,2,2,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,
23-5,1,0,1,1,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
23-6,1,0,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-7,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-8,1,1,2,2,0,3,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
23-9,2,2,3,6,2,12,,,1,,,1,,,,,1,,,,,,,,,,,,1,,,,1,,,,
