,# of Votes per Voter,,,,,,Bullet Votes Per Candidate,,,,,,,,Double Bullet Pairs,,,,,,,,,,,,,,,,,,,,,,
Div,0,1,2,3,4,5,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh O'Brien,Oh Tracy,Oh Tinney,Oh Taubenberger,Oh Wolfe,Oh Williams,Williams Tracy,Williams Tinney,Williams O'Brien,Williams Taubenberger,Williams Wolfe,Tracy Tinney,Tracy O'Brien,Tracy Taubenberger,Tracy Wolfe,Tinney O'Brien,Tinney Taubenberger,Tinney Wolfe,O'Brien Taubenberger,O'Brien Wolfe,Taubenberger Wolfe,Taubenberger write-in,Oh Write In
3-10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-11,0,1,1,0,0,0,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
3-12,0,3,0,0,0,0,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
3-13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-14,0,3,0,0,0,0,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
3-15,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
3-16,0,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-20,0,8,1,0,0,1,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
3-21,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-22,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-3,0,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-4,0,0,1,1,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
4-5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-6,0,1,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-7,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-8,0,2,1,0,0,0,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
4-9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-11,0,1,0,1,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-12,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-13,0,1,1,1,0,0,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
4-14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
