Ward,Ward Display,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Neilson,Rizzo,Wyatt,Gym,Domb,Green,Steinke,Reynolds Brown,Goode,Aument-Loughrey,Cohen,Alexander,Thomas,Greenlee,Cain,Ayers,Write in,Wyatt & Neilson,Green & Greenlee,Green & Domb,Domb & Rizzo,Greenlee & Neilson,Neilson & Rizzo,Domb & Gym,Wyatt & Greenlee,Greenlee & Gym,Wyatt & Cohen,Green & Rizzo,Steinke & Rizzo,Steinke & Goode,Domb & Steinke,Green & Wyatt,Cohen & Gym,Reynolds-Brown & Neilson,Cohen & Thomas,Wyatt & Rizzo,Domb & Neilson,Wyatt & Gym,Domb & Wyatt,Gym & Thomas,Reynolds-Brown & Steinke,Wyatt & Steinke,Green & Gym,Steinke & Gym,Ayers & Gym,Domb & Reynolds-Brown,Green & Aument-Loughrey,Reynolds-Brown & Cohen,Gym & Neilson,Green & Neilson,Neilson & Goode,Domb & Aument & Loughrey,Steinke & Neilson,Green & Ayers,Aument-Loughrey & Gym,Green & Goode,Steinke & Cohen,Reynolds-Brown & Goode,Cohen & Neilson,Rizzo & Goode,Gym & Goode,Thomas & Goode,Greenlee & Rizzo,Domb & Greenlee,Ayers & Reynolds-Brown,Reynolds-Brown & Gym,Ayers & Aument-Loughrey,Reynolds-Brown & Thomas,Wyatt & Reynolds-Brown,Green & Cohen,Aument-Loughrey & Greenlee,Cohen & Cain,Gym & Rizzo,Ayers & Wyatt,Alexander & Cain,Ayers & Domb,Reynolds-Brown & Rizzo,Cain & Aument-Loughrey,Reynolds-Brown & Greenlee,Greenlee & Goode,Cain & Reynolds-Brown,Ayers & Cain,Ayers & Steinke,Green & Thomas,Aument-Loughrey & Rizzo,Cohen & Goode,Green & Cain,Cohen & Rizzo,Domb & Cohen,Neilson & Thomas,Domb & Thomas,Wyatt & Thomas,Cain & Gym,Cain & Rizzo,Ayers & Cohen,Alexander & Thomas,Rizzo & Thomas,Ayers & Alexander,Cohen & Greenlee,Steinke & Greenlee,Cain & Thomas,Alexander & Rizzo,Reynolds-Brown & Aument-Loughrey,Cain & Goode,Aument-Loughrey & Neilson,Alexander & Gym,Steinke & Aument-Loughrey,Cain & Steinke,Alexander & Wyatt,Aument-Loughrey & Thomas,Greenlee & Thomas,Ayers & Thomas,Alexander & Neilson,Alexander & Cohen,Ayers & Neilson,Aument-Loughrey & Cohen,Domb & Cain,Wyatt & Goode,Cain & Greenlee,Wyatt & Cain,Alexander & Goode,Alexander & Reynolds-Brown,Ayers & Goode,Reynolds-Brown & Green,Gym & Write-in,Ayers & Greenlee,Cain & Cohen,Alexander & Steinke,Wyatt & Aument-Loughrey,Cain & Neilson,Rizzo & Write-in,Alexander & Greenlee,Alexander & Aument-Loughrey,Thomas/Write & In,Green & Reynolds-Brown,Green & Alexander,Green & Steinke,Ayers & Rizzo,Alexander & Domb,Domb & Goode,Steinke & Thomas,Aument-Loughrey & Goode,Alexander & Write-In
1,01,Neilson,169,Greenlee & Neilson,45,670,778,356,468,273,980,169,79,123,121,98,50,25,12,4,8,13,7,14,16,13,26,0,12,1,4,19,45,22,14,1,6,1,1,1,0,7,7,22,2,1,6,19,22,15,4,5,9,5,13,3,3,1,3,5,2,1,2,2,4,1,2,3,2,1,3,3,0,4,2,2,2,2,3,2,2,3,1,2,2,1,2,2,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,0,1,0,1
2,02,Gym,248,Steinke & Gym,54,685,910,489,494,448,1884,19,62,65,248,141,86,73,33,27,11,24,18,29,16,9,48,1,7,1,3,20,5,5,38,1,12,0,0,7,1,23,6,43,0,1,5,2,14,18,6,5,12,7,54,1,7,0,1,1,0,1,1,4,11,2,3,5,4,1,4,5,9,4,5,3,14,0,3,1,1,1,0,14,1,1,2,5,0,2,1,1,1,1,5,7,2,1,1,4,0,4,3,1,2,1,1,3,8,2,1,1,1,1,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,2,1,4,1,0
3,03,Green,339,Reynolds-Brown & Goode,37,1003,1112,307,339,363,1158,6,5,29,25,90,339,3,161,81,2,10,113,68,7,21,151,1,0,0,11,2,2,1,2,0,3,0,2,0,1,2,5,1,1,1,0,0,0,4,0,6,0,2,0,4,10,0,0,0,1,1,0,0,29,0,8,0,37,0,1,4,16,0,2,3,2,0,19,3,0,0,0,0,1,0,2,3,0,4,4,0,2,0,2,0,1,0,0,0,2,4,0,0,0,0,3,2,3,0,0,0,0,0,0,0,2,0,0,5,0,0,2,1,1,0,2,2,1,0,1,3,1,7,0,0,2,0,0,0,1,0,0,0,1,16,28,1,0,1,10,0,0,0
4,04,Green,298,Green & Ayers,33,914,1069,308,341,255,1358,4,5,28,33,121,298,17,134,76,4,16,127,61,12,15,118,0,0,3,8,1,0,0,4,0,0,0,2,0,0,1,5,2,2,1,0,1,0,8,3,9,0,1,6,0,14,1,4,0,0,2,0,0,33,0,7,2,31,0,3,1,16,0,0,0,5,0,13,3,2,0,0,0,0,2,1,2,0,4,2,0,1,0,6,0,0,2,0,4,0,4,0,1,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,1,0,3,3,0,0,0,0,1,0,0,3,1,4,4,0,0,0,2,1,0,0,0,0,0,0,13,28,2,1,3,7,1,0,0
5,05,Domb,200,Steinke & Gym,63,489,745,476,536,570,2515,3,24,26,150,200,60,106,21,13,1,43,10,21,15,9,43,0,2,1,7,13,1,0,44,0,9,1,4,4,1,62,2,51,0,1,1,0,4,13,4,7,9,4,63,2,4,1,9,2,0,0,2,5,8,0,2,19,4,0,2,5,2,0,2,0,5,0,1,2,4,0,0,4,0,0,4,3,0,3,2,0,3,1,3,0,3,0,2,14,0,3,1,2,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,2,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,1,2,1,3,3,7,0,0
6,06,Green,194,Reynolds-Brown & Goode,22,669,609,172,192,115,681,3,5,13,31,63,194,4,72,41,4,9,39,45,6,11,69,0,0,1,0,1,0,0,4,1,3,0,2,0,2,0,1,4,1,0,0,1,0,1,0,5,1,0,1,0,5,0,1,1,0,0,0,0,14,1,3,0,22,0,2,0,4,0,1,0,2,0,4,0,1,0,0,0,1,0,2,1,0,1,0,1,0,0,5,0,0,0,0,0,1,12,3,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,12,1,1,0,2,1,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,5,12,3,1,2,0,0,1,0
7,07,Green,93,Green & Alexander,13,1054,385,107,118,81,276,70,25,5,25,32,93,11,9,7,1,10,34,8,9,6,40,0,0,4,2,1,0,7,3,0,2,0,0,1,0,3,2,1,1,0,0,0,0,4,1,5,2,0,4,1,0,1,0,0,2,2,0,0,11,0,0,1,0,0,1,0,0,1,0,0,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,1,3,1,0,0,0
8,08,Domb,363,Domb & Steinke,105,481,904,688,663,640,2641,4,10,13,169,363,53,120,27,13,3,41,11,12,27,11,27,0,0,1,11,18,1,1,50,1,49,2,1,2,2,105,2,58,1,0,1,0,3,20,3,10,10,7,88,1,21,0,3,1,0,0,1,1,7,1,3,22,4,2,2,4,1,1,16,0,10,3,5,1,1,1,1,2,2,0,5,1,0,5,1,1,2,0,2,2,1,0,3,42,0,4,2,0,1,2,0,2,0,5,5,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,0,11,3,2,0
9,09,Gym,157,Cohen & Gym,122,263,540,461,412,421,2041,4,34,12,157,60,70,43,25,15,1,21,6,39,29,5,19,0,1,8,7,17,0,0,13,2,24,2,1,1,1,16,1,122,1,0,4,0,10,3,7,3,2,17,21,2,7,0,1,0,0,0,1,0,1,0,2,6,4,0,2,11,3,8,17,1,5,0,2,0,3,0,0,6,1,0,1,0,0,5,1,2,1,1,19,0,2,2,2,6,1,9,1,2,1,1,1,2,0,2,3,1,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,0,1,0,3,1,0
10,10,Green,458,Green & Thomas,91,1000,1434,537,433,555,2203,12,5,35,38,109,458,6,126,62,4,18,45,366,17,20,113,0,0,15,24,1,1,2,3,0,1,0,1,0,0,1,7,1,4,4,2,0,0,9,11,6,0,7,0,1,16,0,3,0,5,1,1,0,38,0,11,0,20,0,1,2,35,0,0,5,8,0,33,3,1,0,0,1,1,1,4,2,0,7,2,2,2,0,91,0,1,3,1,5,5,16,6,0,0,2,3,3,4,0,0,2,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,3,0,0,5,1,4,3,0,0,0,1,0,0,0,0,0,0,0,37,17,3,0,2,4,0,0,0
11,11,Green,215,Tie: Green & Ayers/Green & Alexander,17,618,685,206,213,165,786,6,6,22,21,64,215,3,49,35,13,7,35,72,35,17,85,0,0,9,8,1,1,0,3,0,2,0,1,0,0,0,4,1,3,0,0,0,0,6,4,3,0,1,0,2,4,0,0,0,4,2,1,0,17,1,4,0,8,0,3,2,5,0,5,4,2,0,9,2,1,0,0,0,0,0,0,1,0,4,5,2,0,0,10,0,1,1,0,1,2,4,0,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,1,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,11,17,0,0,1,2,0,0,0
12,12,Green,328,Cohen & Gym,30,671,974,382,312,300,1575,7,10,28,54,92,328,10,83,66,2,19,46,87,9,22,111,0,0,4,11,2,0,1,6,1,3,0,2,0,1,4,3,30,2,3,0,1,1,5,2,6,1,9,3,0,17,2,4,0,6,1,0,0,27,0,13,0,21,0,3,13,14,0,1,7,9,1,14,0,3,0,0,3,0,1,1,1,0,3,4,1,1,0,18,0,3,7,0,3,1,3,3,0,1,1,2,1,0,2,0,1,0,0,0,0,0,1,0,1,0,2,3,0,0,0,0,4,0,0,1,2,5,2,0,0,2,2,0,0,0,0,0,0,0,11,13,1,1,1,8,3,1,0
13,13,Green,277,Green & Ayers,32,703,923,302,316,300,1353,6,14,20,73,113,277,3,77,57,4,12,55,113,8,16,75,0,0,1,11,0,2,0,2,2,2,1,1,0,0,1,7,12,0,2,0,3,2,2,10,4,1,6,3,2,13,1,2,0,2,3,0,0,32,0,12,2,14,0,3,7,20,0,1,2,7,0,10,0,3,0,0,0,0,0,1,1,1,3,3,1,1,0,9,0,2,2,0,3,2,5,2,3,0,1,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,11,14,0,1,2,3,1,0,0
14,14,Green,83,Reynolds-Brown & Greenlee,12,350,394,124,137,118,456,6,5,15,11,35,83,6,33,21,1,6,20,38,62,6,46,0,0,4,1,0,2,1,0,2,4,0,0,0,0,4,1,4,0,1,0,1,0,2,3,2,0,0,2,1,4,0,1,0,0,0,0,1,11,0,1,0,7,1,0,0,6,2,6,1,0,0,1,0,0,0,0,0,1,0,0,0,1,12,1,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,1,0
15,15,Greenlee,239,Greenlee & Gym,41,319,654,352,368,359,1514,4,18,10,83,95,68,31,19,15,1,13,11,19,239,4,24,0,0,2,2,6,10,0,22,1,41,0,2,1,0,13,3,17,0,1,0,3,0,4,3,4,3,3,27,2,1,0,2,1,0,0,2,0,4,0,0,2,0,0,0,1,3,14,39,1,4,0,5,1,0,0,0,1,0,0,1,1,0,17,8,0,1,0,0,2,1,0,0,4,0,1,0,0,0,0,1,0,1,10,22,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,2,0,5,0,1,1,2,0,0
16,16,Green,173,Green & Ayers,18,497,604,166,158,121,529,4,5,30,14,54,173,3,65,26,21,5,39,103,7,5,50,0,0,0,2,0,0,0,1,0,0,0,2,0,0,3,1,2,2,2,0,0,0,4,1,2,0,2,0,0,6,0,2,0,0,0,0,0,18,0,4,1,4,1,3,0,14,0,0,1,1,0,14,3,0,0,0,0,1,0,3,1,0,4,0,1,0,0,9,0,0,1,0,1,2,6,0,0,1,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,3,0,0,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5,7,1,0,0,3,0,0,0
17,17,Green,373,Green & Ayers,35,823,1259,403,435,494,1684,10,10,19,66,102,373,11,103,78,6,74,50,157,10,63,127,0,0,5,10,3,1,1,4,0,0,0,1,0,2,0,5,7,0,11,1,0,2,5,3,7,0,5,2,1,18,2,4,2,5,4,1,0,35,0,7,0,22,1,0,6,14,0,1,4,2,2,19,2,16,0,0,3,2,1,1,0,1,3,4,4,3,0,25,0,5,5,1,8,1,13,3,1,0,3,3,2,4,8,0,2,0,0,1,0,1,0,1,0,0,2,5,0,0,1,0,8,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,6,15,0,0,3,5,0,0,0
18,18,Domb,79,Cohen & Gym,11,610,437,163,177,153,658,38,42,12,64,79,61,28,10,9,5,11,10,9,16,9,34,0,0,0,8,5,6,1,5,0,2,1,0,0,0,5,1,11,2,2,1,4,2,5,4,2,2,1,10,0,2,0,2,2,3,0,2,0,3,0,0,1,3,0,4,2,1,3,2,3,2,1,0,1,0,0,0,1,1,0,2,2,0,0,0,0,4,0,0,1,0,2,0,1,4,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,1,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,2,3,5,0,0,0,1,0,0
19,19,Green,89,Reynolds-Brown & Steinke,12,930,387,99,182,178,200,57,13,9,12,26,89,8,28,3,10,6,33,25,13,9,46,0,0,0,0,1,8,3,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3,0,12,0,0,0,1,4,0,1,1,1,3,0,1,6,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,1,3,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,2,0,1,1,1,0,0,1,0,10,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0
20,20,Green,75,Green & Ayers,10,243,281,98,98,76,416,4,6,11,12,23,75,4,23,17,2,1,13,23,18,8,41,0,1,1,2,1,3,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,2,0,0,1,0,4,0,0,0,0,0,0,0,10,0,2,0,4,0,1,1,5,0,0,3,0,0,5,0,0,0,0,0,1,0,4,0,0,1,4,0,0,1,5,0,0,0,0,2,0,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0
21,21,Gym,257,Cohen & Gym,73,706,1130,774,804,639,2891,23,167,29,257,175,89,40,56,16,5,24,20,23,77,18,111,0,1,4,6,41,72,5,26,0,38,2,7,14,3,45,2,73,2,2,8,1,6,11,7,8,12,7,44,7,14,2,2,3,3,0,1,2,5,1,0,6,18,2,11,7,7,18,18,1,10,0,4,0,3,1,0,17,3,0,14,3,2,9,3,1,4,1,1,1,3,3,10,9,0,5,1,1,2,4,0,3,1,15,6,0,0,0,0,0,2,1,2,0,0,1,0,1,0,0,2,2,1,0,1,1,0,0,0,0,5,1,0,0,0,0,0,0,0,10,4,3,14,1,4,3,0,0
22,22,Green,353,Cohen & Gym,90,602,1134,584,566,561,3010,6,14,32,159,98,353,16,97,53,1,19,37,115,12,38,84,0,0,6,16,1,4,0,10,0,7,0,3,0,1,5,9,90,1,1,0,0,2,4,9,4,3,28,20,4,11,0,4,2,3,1,1,0,26,0,17,1,24,0,4,11,17,0,4,4,22,0,18,3,9,1,0,2,1,2,2,4,0,4,2,5,2,0,20,0,3,19,1,4,3,10,3,0,0,2,2,1,2,0,0,0,0,0,2,0,1,0,0,1,0,0,3,0,0,0,0,7,1,0,1,3,1,2,0,0,0,1,0,0,1,0,0,0,0,23,16,5,1,1,6,3,0,0
23,23,Thomas,194,Greenlee & Neilson,19,607,743,204,202,162,799,31,30,22,29,81,152,14,29,27,4,7,32,194,22,9,60,0,0,2,5,2,19,2,6,0,0,0,2,2,0,1,1,1,2,1,3,1,0,1,2,2,1,0,10,1,4,1,1,1,0,2,1,0,11,0,6,1,6,1,3,2,4,0,1,0,0,1,3,0,1,6,1,2,1,0,2,3,0,1,2,0,0,0,11,1,0,2,2,3,1,5,0,0,0,1,0,3,1,0,0,0,0,1,1,2,0,0,0,0,2,5,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,1,0,3,2,0,0
24,24,Green,132,Reynolds-Brown & Goode,11,423,497,135,152,94,624,2,6,18,84,42,132,6,66,16,0,5,43,25,5,9,38,0,0,0,4,0,0,2,0,0,1,1,0,0,0,1,1,8,0,2,1,4,0,1,3,5,0,1,10,3,3,0,1,0,0,1,0,0,6,0,3,1,11,0,1,0,7,0,1,3,9,0,3,0,0,0,0,2,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,2,0,1,0,0
25,25,Domb,117,Domb & Neilson,52,364,402,192,142,95,410,25,68,14,17,117,53,10,11,5,5,2,17,8,11,4,35,0,1,2,3,22,25,2,6,0,1,0,1,3,0,6,1,5,3,0,0,52,0,2,3,0,0,0,1,0,3,0,0,0,0,0,0,0,6,0,0,2,0,0,5,0,0,5,3,0,0,0,0,1,0,0,0,3,0,0,2,2,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0
26,26,Rizzo,206,Greenlee & Neilson,251,735,766,590,409,222,727,120,206,21,50,192,49,19,9,4,10,10,15,4,22,12,23,0,0,2,2,80,251,27,18,0,2,0,6,11,1,9,0,6,7,1,3,23,1,8,1,3,0,1,6,1,9,0,0,2,1,5,0,1,2,0,0,1,0,0,3,0,0,17,14,0,3,0,0,0,0,2,0,7,0,0,3,5,0,1,0,0,2,1,0,4,1,0,4,4,1,3,0,0,1,0,0,1,2,1,0,0,0,2,0,8,0,0,1,0,0,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,Gym,78,Steinke & Gym,24,245,300,137,143,116,687,0,3,5,78,26,65,17,22,21,0,4,23,12,2,3,19,0,0,0,1,1,0,0,0,0,5,0,0,0,0,1,1,22,1,1,0,0,1,0,2,4,1,2,24,0,1,0,2,0,0,0,0,0,3,0,2,4,11,1,1,7,6,1,0,1,4,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,2,0,1,0,0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0
28,28,Green,177,Green & Ayers,24,595,575,162,155,118,623,2,1,8,17,50,177,2,53,27,16,3,33,56,9,13,108,0,0,1,8,0,0,0,1,0,1,0,0,0,0,1,1,0,2,0,1,0,1,2,6,1,2,3,0,2,5,1,1,0,0,0,0,0,24,0,2,0,11,0,2,2,11,1,0,1,3,0,10,0,0,0,0,0,2,0,2,1,0,1,2,1,1,0,6,0,0,1,0,1,0,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1,0,0,5,1,0,0
29,29,Green,150,Green & Reynolds-Brown,30,597,514,170,178,132,687,3,4,16,17,47,150,9,74,20,0,17,21,28,41,5,62,0,0,1,2,2,0,0,3,1,6,0,0,0,0,5,4,3,0,0,0,0,1,2,1,4,0,0,4,1,7,0,0,0,0,1,0,0,10,0,4,0,7,0,1,0,5,0,0,2,5,0,3,0,1,2,0,1,0,1,0,3,0,5,2,0,0,1,8,0,1,4,0,1,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30,5,1,0,0,5,0,0,0
30,30,Domb,130,Steinke & Gym,38,402,560,296,334,316,1619,5,17,18,94,130,81,53,31,18,2,20,17,24,6,4,40,0,0,1,12,11,3,0,22,0,5,0,2,2,1,22,2,22,0,2,2,1,2,5,4,10,6,3,38,1,4,0,2,0,0,1,0,0,5,0,0,11,9,0,2,8,7,1,4,1,4,0,4,0,3,0,0,0,1,0,3,2,2,1,1,0,0,0,3,0,2,1,1,2,0,4,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,1,2,3,0,0
31,31,Gym,57,Greenlee & Neilson,119,328,352,252,194,139,633,22,33,12,57,52,39,15,15,8,4,16,8,7,23,8,33,0,0,3,1,2,119,3,5,0,2,0,3,0,0,4,2,10,0,0,0,1,3,2,1,3,2,0,10,0,1,1,4,2,2,1,0,1,10,2,0,1,0,3,1,1,0,7,4,0,3,0,0,0,1,1,0,0,0,0,0,1,1,2,0,1,1,0,1,0,1,0,2,4,0,1,0,1,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,1,0,0,0
32,32,Green,292,Green & Ayers,26,775,824,249,279,186,913,6,7,18,24,94,292,6,67,40,6,15,44,62,15,12,116,0,0,4,8,0,0,0,2,0,2,0,0,0,1,1,2,0,3,4,0,0,0,2,4,5,0,2,3,0,15,1,1,0,0,0,1,0,26,0,2,0,15,0,1,0,11,0,1,5,1,0,9,1,1,0,0,0,0,0,1,0,0,24,1,1,2,1,11,0,0,5,0,2,1,3,0,0,1,1,0,2,4,4,1,0,0,0,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,9,13,5,1,2,6,0,0,0
33,33,Green,115,Green & Ayers,7,650,526,91,127,90,379,30,23,13,12,36,115,8,23,12,113,7,41,15,10,11,57,0,1,1,1,4,2,1,1,0,0,0,1,1,0,0,2,0,0,1,0,0,1,1,1,2,0,0,0,1,1,4,0,0,1,1,0,0,7,1,0,0,1,0,1,1,3,2,0,1,0,3,1,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,2,2,0,0,1,2,0,0,2,0,0,0,2,0,0,1,0,0,0,1,1,3,0,3,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,3,0,0,1,0,0,1,1,0,0,0
34,34,Green,408,Reynolds-Brown & Goode,79,1633,1773,593,652,477,3014,24,41,51,51,191,408,31,258,144,7,21,123,145,27,33,218,0,1,12,11,3,2,0,10,1,6,0,0,2,0,9,5,11,2,1,1,1,2,3,10,18,1,3,3,4,21,0,9,0,0,2,1,0,42,0,10,2,79,0,8,5,31,1,2,4,9,0,32,5,3,1,0,1,3,3,10,4,1,8,3,1,1,2,12,1,2,4,2,10,1,18,1,1,1,1,3,1,7,1,0,2,0,0,0,0,2,0,0,3,0,3,4,0,1,0,0,3,1,0,0,3,7,3,0,0,1,2,2,1,1,0,0,0,0,15,24,3,0,5,12,3,0,0
35,35,Green,212,Green & Domb,15,807,939,256,230,238,1076,100,38,28,42,122,212,14,44,31,6,37,51,87,19,21,87,0,2,7,15,11,7,9,4,0,4,1,1,1,0,1,4,0,1,1,3,4,0,4,5,9,1,2,1,0,1,1,4,2,2,1,1,3,14,0,3,0,9,4,0,4,3,3,3,4,1,2,4,0,1,0,0,4,4,0,0,1,1,3,1,0,0,0,9,2,2,1,3,2,4,3,0,1,1,2,1,3,3,4,0,0,1,0,0,0,0,0,1,1,0,3,3,1,0,0,0,4,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,5,7,0,1,0,1,0,0,0
36,36,Green,412,Thomas & Goode,32,1679,1504,421,370,348,1871,65,16,39,57,149,412,22,136,98,3,18,85,180,13,13,197,1,0,2,8,10,2,5,11,0,2,3,3,2,1,2,5,16,0,7,2,6,5,2,5,4,0,1,2,1,11,0,7,1,1,3,1,0,26,0,4,2,28,1,3,1,32,4,4,5,3,1,21,1,3,1,0,2,2,0,6,0,0,5,1,0,0,2,16,0,8,0,2,2,2,7,3,0,0,3,2,1,4,0,1,0,0,0,1,0,2,0,0,1,1,2,10,1,0,2,2,1,0,0,2,2,3,5,0,0,1,1,0,0,0,0,0,0,0,15,18,2,2,3,3,0,1,0
37,37,Green,175,Green & Alexander,18,638,497,152,156,108,591,13,8,14,11,56,175,7,31,15,6,5,30,60,8,4,54,0,1,1,4,0,2,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,1,5,0,0,0,2,6,0,2,0,1,0,0,1,16,0,1,0,7,0,3,1,9,1,0,1,0,1,4,0,2,1,0,0,1,0,2,0,0,2,1,0,1,2,4,0,0,3,0,1,2,2,2,0,0,0,1,1,4,0,0,1,0,1,0,1,0,0,0,0,2,1,1,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,18,1,0,1,1,1,0,0
